Quarter,Title,Course,Section,Program,Faculty,Schedule,Capacity,Building,Location
Winter 2025,Advanced Investments,35150,1,Full-Time MBA,Stefan Nagel,"Thursday, 8:30 AM - 11:30 AM",48/65,Harper Center,C02
Spring 2025,Applied Macroeconomics: Micro Data for Macro Models,33942,50,PhD,Chang-Tai Hsieh and Erik Hurst,"Monday, 1:30 PM - 4:30 PM",1/20,Harper Center,3A
Spring 2025,Market Design,33915,50,PhD,Eric Budish and Jacob Leshno,"Thursday, 9:00 AM - 12:00 PM",1/35,Harper Center,3B
Autumn 2024,Microeconomics Reading and Research Seminar,33903,50,PhD,Eric Budish and Matthew Notowidigdo and Eric Zwick,"Monday, 4:30 PM - 6:00 PM",4/22,Harper Center,3SW
Autumn 2024,Topics in Information Economics,33914,50,PhD,Emir Kamenica,"Tuesday, 9:00 AM - 12:00 PM",7/35,Harper Center,3B
Autumn 2024,Advanced Industrial Organization I,33921,50,PhD,Chad Syverson,"Thursday, 8:30 AM - 11:30 AM",26/35,Harper Center,3B
Autumn 2024,Private Equity Transactions,34305,1,Full-Time MBA,Stephen Ritchie,"Thursday, 3:00 PM - 6:00 PM",30/30,Harper Center,C06
Autumn 2024,Real Estate Lab: Real Estate Challenge,34704,81,Evening MBA,Joseph Pagliari,"Tuesday, 6:00 PM - 9:00 PM",14/15,Gleacher Center,308
Autumn 2024,Entrepreneurial Discovery,34705,2,Full-Time MBA,Mark Tebbe,"Wednesday, 1:30 PM - 4:30 PM",49/60,Harper Center,C25
Autumn 2024,Entrepreneurial Discovery,34705,1,Full-Time MBA,Mark Tebbe,"Monday, 1:30 PM - 4:30 PM",51/60,Harper Center,C25
Autumn 2024,Asset Pricing I,34901,50,PhD,Lars Hansen and John Heaton,"Monday, 8:30 AM - 9:50 AM Wednesday, 8:30 AM - 9:50 AM",18/35,Harper Center,3B
Autumn 2024,Corporate Finance I,34903,50,PhD,Douglas Diamond,"Monday, 3:00 PM - 6:00 PM",7/35,Harper Center,3B
Autumn 2024,Introductory Finance,35001,85,Weekend MBA,George Constantinides,"Saturday, 9:00 AM - 12:00 PM",26/65,Gleacher Center,404
Autumn 2024,Introductory Finance,35001,1,Full-Time MBA,George Constantinides,"Thursday, 8:30 AM - 11:30 AM",30/65,Harper Center,C09
Autumn 2024,Introductory Finance,35001,81,Evening MBA,George Constantinides,"Thursday, 6:00 PM - 9:00 PM",19/65,Gleacher Center,306
Autumn 2024,Research Seminar,35930,50,PhD,Stefan Nagel and Pascal Noel and Anthony Zhang,"Tuesday, 8:30 AM - 11:30 AM",3/22,Harper Center,3SW
Autumn 2024,Research Seminar,35930,1,PhD,Joseph Vavra,"Wednesday, 10:30 AM - 11:50 AM",8/65,,
Autumn 2024,Digital Marketing,37301,81,Evening MBA,Lil Mohan,"Friday, 6:00 PM - 9:00 PM",42/65,Gleacher Center,206
Autumn 2024,Digital Marketing Lab,37703,85,Weekend MBA,Lil Mohan,"Saturday, 1:30 PM - 4:30 PM",30/40,Gleacher Center,206
Winter 2025,Ethics of Business,38115,85,Weekend MBA,John Rollert,"Saturday, 1:30 PM - 4:30 PM",51/65,Gleacher Center,308
Autumn 2024,Behavioral Economics - Development & Observational Data,38916,50,PhD,Joshua Dean and Devin Pope,"Tuesday, 1:30 PM - 4:30 PM",14/35,Harper Center,3B
Winter 2025,Healthcare Analytics Lab,40721,1,Full-Time MBA,Dan Adelman,"Wednesday, 8:30 AM - 11:30 AM",15/35,Booth 455,132
Winter 2025,Financial Econometrics,41203,81,Evening MBA,Jeffrey Russell,"Wednesday, 6:00 PM - 9:00 PM",29/65,Gleacher Center,204
Autumn 2024,Probability and Statistics,41901,50,PhD,Tetsuya Kaji,"Friday, 1:30 PM - 4:30 PM",39/65,Harper Center,C04
Winter 2025,Time-series Analysis for Forecasting and Model Building,41910,50,PhD,Jeffrey Russell,"Friday, 1:30 PM - 4:30 PM",60/65,Harper Center,C09
Autumn 2024,"Bayes, AI and Deep Learning",41916,50,PhD,Nicholas Polson,"Thursday, 8:30 AM - 11:30 AM",17/22,Harper Center,3SW
Autumn 2024,Arts Leadership: Exemplary is Not Enough,42126,1,Full-Time MBA,Mary Ittelson,"Tuesday, 1:30 PM - 4:30 PM",25/40,Harper Center,C08
Autumn 2024,The Legal Infrastructure of Business,42201,85,Weekend MBA,Randal Picker,"Saturday, 1:30 PM - 4:30 PM",42/65,Gleacher Center,306
Autumn 2024,The Legal Infrastructure of Business,42201,81,Evening MBA,Randal Picker,"Wednesday, 6:00 PM - 9:00 PM",57/65,Gleacher Center,204
Autumn 2024,Accounting and Financial Analysis,30116,1,Full-Time MBA,Hans Christensen,"Tuesday, 8:30 AM - 11:30 AM",70/70,Harper Center,C06
