Course_Original,Course_Number,Section,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 25,Seats Available after Phase 25,Phase 25 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price
30000-81,30000,81,Financial Accounting,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Heltzer, Wendy",25.0,40,0.0,28.0,37,0.0,,,,,,,,,,,,
30000-85,30000,85,Financial Accounting,Spring,2025,"Saturday, 1:30 pm - 4:30 pm","Heltzer, Wendy",27.0,38,0.0,26.0,39,0.0,,,,,,,,,,,,
30005-01,30005,01,Internal Information for Strategic Decisions,Spring,2025,"Tuesday, 08:30 am - 11:30 am","Stewart, Christopher",70.0,CLO,0.0,70.0,CLO,6400.0,,,,,,,,,,,,
30005-02,30005,02,Internal Information for Strategic Decisions,Spring,2025,"Tuesday, 01:30 pm - 04:30 pm","Stewart, Christopher",70.0,CLO,1599.0,70.0,CLO,10000.0,,,,,,,,,,,,
30005-85,30005,85,Internal Information for Strategic Decisions,Spring,2025,"Saturday, 1:30 pm - 4:30 pm","Stewart, Christopher",31.0,34,0.0,29.0,36,0.0,,,,,,,,,,,,
30118-01,30118,01,Taxes and Business Strategy,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Welsch, Anthony",47.0,18,0.0,65.0,CLO,1.0,,,,,,,,,,,,
30121-01,30121,01,Accounting for Entrepreneurship: From Start-Up through IPO,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Berger, Philip",65.0,CLO,2.0,65.0,CLO,1999.0,,,,,,,,,,,,
30121-02,30121,02,Accounting for Entrepreneurship: From Start-Up through IPO,Spring,2025,"Wednesday, 05:00 pm - 08:00 pm","Berger, Philip",25.0,40,0.0,35.0,30,0.0,,,,,,,,,,,,
30121-85,30121,85,Accounting for Entrepreneurship: From Start-Up through IPO,Spring,2025,"Saturday, 9:00 am - 12:00 pm","Berger, Philip",16.0,49,0.0,15.0,50,0.0,,,,,,,,,,,,
30122-01,30122,01,Deal Structuring and Financial Reporting Implications,Spring,2025,"Wednesday, 8:30 am - 11:30 am","Sapra, Haresh",44.0,21,0.0,50.0,15,0.0,,,,,,,,,,,,
30130-01,30130,01,Financial Statement Analysis,Spring,2025,"Friday, 8:30 am - 11:30 am","Hand, John",65.0,CLO,0.0,65.0,CLO,0.0,,,,,,,,,,,,
30130-02,30130,02,Financial Statement Analysis,Spring,2025,"Thursday, 8:30 am - 11:30 am","Hand, John",65.0,CLO,3800.0,65.0,CLO,10469.0,,,,,,,,,,,,
30130-81,30130,81,Financial Statement Analysis,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Hand, John",46.0,19,0.0,58.0,7,0.0,,,,,,,,,,,,
30131-01,30131,01,Advanced Financial Analysis and Valuation for Global Firms,Spring,2025,"Thursday, 08:30 am - 11:30 am","Rauter, Thomas",67.0,CLO,1.0,70.0,CLO,6500.0,,,,,,,,,,,,
30600-60,30600,60,Workshop in Accounting Research,Spring,2025,"Thursday, 01:20 pm - 02:50 pm","McClure, Charles; Riggs-Cragun, Amoray",5.0,25,0.0,6.0,24,0.0,,,,,,,,,,,,
30901-50,30901,50,Economic Modeling of Accounting Issues,Spring,2025,"Tuesday, 8:30 am - 11:30 am","Sapra, Haresh",6.0,16,0.0,6.0,16,0.0,,,,,,,,,,,,
30932-50,30932,50,Research Seminar in Accounting,Spring,2025,"Thursday, 10:00 am - 11:30 am","Samuels, Delphine; Stewart, Christopher; Tomy, Rimmy",3.0,17,0.0,3.0,17,0.0,,,,,,,,,,,,
31403-01,31403,01,Leadership Studio,Spring,2025,"Wednesday, 1:30 pm - 4:30 pm","Davis, Harry; Tennant, Nancy",30.0,CLO,1500.0,30.0,CLO,12491.0,,,,,,,,,,,,
31403-81,31403,81,Leadership Studio,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Davis, Harry; Tennant, Nancy",18.0,12,0.0,22.0,8,0.0,,,,,,,,,,,,
32120-01,32120,01,Data Analysis with Python and SQL,Spring,2025,"Tuesday, 8:30 am - 11:30 am","Kattan, Lara",35.0,CLO,2085.0,35.0,CLO,7776.0,,,,,,,,,,,,
32130-81,32130,81,Data Visualization for Decision-Making,Spring,2025,"Monday, 6:00 pm - 9:00 pm","Kattan, Lara",45.0,CLO,2000.0,45.0,CLO,14419.0,,,,,,,,,,,,
33032-01,33032,01,Managing the Workplace,Spring,2025,"Tuesday, 05:00 pm - 08:00 pm","Prendergast, Canice",70.0,CLO,1000.0,70.0,CLO,10343.0,,,,,,,,,,,,
33032-02,33032,02,Managing the Workplace,Spring,2025,"Tuesday, 08:30 am - 11:30 am","Prendergast, Canice",70.0,CLO,2713.0,70.0,CLO,10000.0,,,,,,,,,,,,
33032-85,33032,85,Managing the Workplace,Spring,2025,"Saturday, 9:00 am - 12:00 pm","Prendergast, Canice",22.0,43,0.0,23.0,42,0.0,,,,,,,,,,,,
33050-01,33050,01,Macroeconomics and the Business Environment,Spring,2025,"Thursday, 08:30 am - 11:30 am","Guerrieri, Veronica",18.0,47,0.0,19.0,46,0.0,,,,,,,,,,,,
33050-02,33050,02,Macroeconomics and the Business Environment,Spring,2025,"Thursday, 01:30 pm - 04:30 pm","Guerrieri, Veronica",32.0,33,0.0,35.0,30,0.0,,,,,,,,,,,,
33251-01,33251,01,Perspectives on Capitalism Seminar,Spring,2025,"Tuesday, 10:00 am - 11:30 am","Vasquez, Susana",12.0,CLO,501.0,12.0,CLO,25000.0,,,,,,,,,,,,
33251-02,33251,02,Perspectives on Capitalism Seminar,Spring,2025,"Tuesday, 1:30 pm - 3:00 pm","Vasquez, Susana",12.0,CLO,2401.0,12.0,CLO,8242.0,,,,,,,,,,,,
33251-03,33251,03,Perspectives on Capitalism Seminar,Spring,2025,"Wednesday, 10:00 am - 11:30 am","Barry, Brian",12.0,CLO,5481.0,12.0,CLO,6000.0,,,,,,,,,,,,
33251-04,33251,04,Perspectives on Capitalism Seminar,Spring,2025,"Thursday, 10:00 am - 11:30 am","Barry, Brian",12.0,CLO,2000.0,12.0,CLO,0.0,,,,,,,,,,,,
33251-05,33251,05,Perspectives on Capitalism Seminar,Spring,2025,"Thursday, 1:30 pm - 3:00 pm","Barry, Brian",12.0,CLO,1993.0,11.0,1,0.0,,,,,,,,,,,,
33251-06,33251,06,Perspectives on Capitalism Seminar,Spring,2025,"Wednesday, 3:00 pm - 4:30 pm","Gertner, Robert",12.0,CLO,3500.0,12.0,CLO,0.0,,,,,,,,,,,,
33251-07,33251,07,Perspectives on Capitalism Seminar,Spring,2025,"Thursday, 10:00 am - 11:30 am","Gertner, Robert",12.0,CLO,1000.0,12.0,CLO,10335.0,,,,,,,,,,,,
33251-08,33251,08,Perspectives on Capitalism Seminar,Spring,2025,"Thursday, 1:30 pm - 3:00 pm","Gertner, Robert",12.0,CLO,0.0,12.0,CLO,673.0,,,,,,,,,,,,
33251-09,33251,09,Perspectives on Capitalism Seminar,Spring,2025,"Wednesday, 3:00 pm - 4:30 pm","Grossman, Caroline",6.0,9,0.0,6.0,6,0.0,,,,,,,,,,,,
33251-10,33251,10,Perspectives on Capitalism Seminar,Spring,2025,"Tuesday, 03:30 pm - 05:00 pm","Vasquez, Susana",12.0,CLO,0.0,12.0,CLO,0.0,,,,,,,,,,,,
33251-81,33251,81,Perspectives on Capitalism Seminar,Spring,2025,"Wednesday, 06:45 pm - 08:15 pm","Grossman, Caroline",12.0,CLO,3000.0,12.0,CLO,3167.0,,,,,,,,,,,,
33251-82,33251,82,Perspectives on Capitalism Seminar,Spring,2025,"Monday, 06:00 pm - 07:30 pm","Carmichael, James",15.0,CLO,60.0,15.0,CLO,0.0,,,,,,,,,,,,
33251-83,33251,83,Perspectives on Capitalism Seminar,Spring,2025,"Tuesday, 06:00 pm - 07:30 pm","Carmichael, James",15.0,CLO,0.0,15.0,CLO,1750.0,,,,,,,,,,,,
33251-84,33251,84,Perspectives on Capitalism Seminar,Spring,2025,"Thursday, 06:00 pm - 07:30 pm","Carmichael, James",15.0,CLO,0.0,15.0,CLO,0.0,,,,,,,,,,,,
33305-01,33305,01,The Firm and the Non-Market Environment,Spring,2025,"Thursday, 08:30 am - 11:30 am","Bertrand, Marianne",70.0,CLO,1.0,70.0,CLO,16451.0,,,,,,,,,,,,
33305-02,33305,02,The Firm and the Non-Market Environment,Spring,2025,"Thursday, 01:30 pm - 04:30 pm","Bertrand, Marianne",70.0,CLO,1.0,70.0,CLO,20000.0,,,,,,,,,,,,
33305-85,33305,85,The Firm and the Non-Market Environment,Spring,2025,"Saturday, 9:00 am - 12:00 pm","Bertrand, Marianne",45.0,20,0.0,50.0,15,0.0,,,,,,,,,,,,
33320-81,33320,81,Financing the Grid: Valuing Transmission & Storage Capacity,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Birge, John; Mordecai, David K.A.; Murphy, Kevin",26.0,39,0.0,28.0,37,0.0,,,,,,,,,,,,
33350-01,33350,01,Health Economics,Spring,2025,"Monday, 1:30 pm - 4:30 pm","Notowidigdo, Matthew",50.0,15,0.0,56.0,9,0.0,,,,,,,,,,,,
33350-81,33350,81,Health Economics,Spring,2025,"Monday, 6:00 pm - 9:00 pm","Notowidigdo, Matthew",19.0,46,0.0,25.0,40,0.0,,,,,,,,,,,,
33401-01,33401,01,Money and Banking,Spring,2025,"Tuesday, 01:30 pm - 04:30 pm","Kroszner, Randall",70.0,CLO,4802.0,70.0,CLO,10185.0,,,,,,,,,,,,
33401-02,33401,02,Money and Banking,Spring,2025,"Wednesday, 01:30 pm - 04:30 pm","Kroszner, Randall",70.0,CLO,6023.0,70.0,CLO,10131.0,,,,,,,,,,,,
33401-81,33401,81,Money and Banking,Spring,2025,"Tuesday, 6:00 pm - 9:00 pm","Kroszner, Randall",70.0,CLO,1778.0,70.0,CLO,8000.0,,,,,,,,,,,,
33451-81,33451,81,Real Estate Investments II,Spring,2025,"Thursday, 6:00 pm - 9:00 pm","Pagliari, Joseph",14.0,51,0.0,15.0,50,0.0,,,,,,,,,,,,
33451-85,33451,85,Real Estate Investments II,Spring,2025,"Saturday, 9:00 am - 12:00 pm","Pagliari, Joseph",5.0,60,0.0,5.0,60,0.0,,,,,,,,,,,,
